#group,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,countStepDown,eventName,mozarkEventAttributes_applicationId,mozarkEventAttributes_applicationName,mozarkEventAttributes_applicationVersion,mozarkEventAttributes_city,mozarkEventAttributes_contentID,mozarkEventAttributes_cpu,mozarkEventAttributes_deviceId,mozarkEventAttributes_deviceMake,mozarkEventAttributes_deviceModel,mozarkEventAttributes_operator,mozarkEventAttributes_orderId,mozarkEventAttributes_ram,mozarkEventAttributes_scriptId,mozarkEventAttributes_serialId,mozarkEventAttributes_testId,mozarkEventAttributes_userId,mozarkEventAttributes_userName,mozarkEventAttributes_videoPlayTime,rxDelta,testId,videoQuality
,,0,2021-08-08T17:33:15.850827002Z,2021-09-07T17:33:15.850827002Z,2021-09-06T12:05:55Z,2,flag,VideoResolution,0,appLaunch,in.startv.hotstar,Hotstar,12.0.9,Chennai,1540007647,NA,4bbbadfd,11,Xiaomi Note 10 Pro,,5,NA,script3,4bbbadfd,3885,3,3,3600000,769.029,3885,SD
,,0,2021-08-08T17:33:15.850827002Z,2021-09-07T17:33:15.850827002Z,2021-09-01T12:33:45Z,2,flag,VideoResolution,0,appLaunch,in.startv.hotstar,Hotstar,12.0.9,Jaipur,1540007719,8,81b23483,11,Xiaomi Note 10 Pro,,5,6,script3,81b23483,4923,3,3,120000,475.882,4923,SD
,,0,2021-08-08T17:33:15.850827002Z,2021-09-07T17:33:15.850827002Z,2021-09-01T12:10:35Z,1,flag,VideoResolution,0,appLaunch,in.startv.hotstar,Hotstar,12.0.9,Kolkata,1540007719,8,dc1f9ad9,11,Xiaomi Note 10 Pro,,5,6,script3,dc1f9ad9,4919,3,3,120000,0.0,4919,LD
,,0,2021-08-08T17:33:15.850827002Z,2021-09-07T17:33:15.850827002Z,2021-09-01T12:11:35Z,1,flag,VideoResolution,0,appLaunch,in.startv.hotstar,Hotstar,12.0.9,Kolkata,1540007719,8,dc1f9ad9,11,Xiaomi Note 10 Pro,,5,6,script3,dc1f9ad9,4919,3,3,120000,0.0,4919,LD
,,0,2021-08-08T17:33:15.850827002Z,2021-09-07T17:33:15.850827002Z,2021-09-01T12:13:30Z,1,flag,VideoResolution,0,appLaunch,in.startv.hotstar,Hotstar,12.0.9,Kolkata,1540007719,8,dc1f9ad9,11,Xiaomi Note 10 Pro,,5,6,script3,dc1f9ad9,4919,3,3,120000,0.0,4919,LD
,,0,2021-08-08T17:33:15.850827002Z,2021-09-07T17:33:15.850827002Z,2021-09-01T12:13:35Z,1,flag,VideoResolution,0,appLaunch,in.startv.hotstar,Hotstar,12.0.9,Kolkata,1540007719,8,dc1f9ad9,11,Xiaomi Note 10 Pro,,5,6,script3,dc1f9ad9,4919,3,3,120000,0.0,4919,LD
,,0,2021-08-08T17:33:15.850827002Z,2021-09-07T17:33:15.850827002Z,2021-09-01T12:13:40Z,1,flag,VideoResolution,0,appLaunch,in.startv.hotstar,Hotstar,12.0.9,Kolkata,1540007719,8,dc1f9ad9,11,Xiaomi Note 10 Pro,,5,6,script3,dc1f9ad9,4919,3,3,120000,0.0,4919,LD
,,0,2021-08-08T17:33:15.850827002Z,2021-09-07T17:33:15.850827002Z,2021-09-01T12:13:45Z,1,flag,VideoResolution,0,appLaunch,in.startv.hotstar,Hotstar,12.0.9,Kolkata,1540007719,8,dc1f9ad9,11,Xiaomi Note 10 Pro,,5,6,script3,dc1f9ad9,4919,3,3,120000,0.0,4919,LD
,,0,2021-08-08T17:33:15.850827002Z,2021-09-07T17:33:15.850827002Z,2021-09-01T12:13:50Z,1,flag,VideoResolution,0,appLaunch,in.startv.hotstar,Hotstar,12.0.9,Kolkata,1540007719,8,dc1f9ad9,11,Xiaomi Note 10 Pro,,5,6,script3,dc1f9ad9,4919,3,3,120000,0.0,4919,LD
,,0,2021-08-08T17:33:15.850827002Z,2021-09-07T17:33:15.850827002Z,2021-09-01T12:13:55Z,1,flag,VideoResolution,0,appLaunch,in.startv.hotstar,Hotstar,12.0.9,Kolkata,1540007719,8,dc1f9ad9,11,Xiaomi Note 10 Pro,,5,6,script3,dc1f9ad9,4919,3,3,120000,0.0,4919,LD
,,0,2021-08-08T17:33:15.850827002Z,2021-09-07T17:33:15.850827002Z,2021-09-01T12:14:05Z,1,flag,VideoResolution,0,appLaunch,in.startv.hotstar,Hotstar,12.0.9,Kolkata,1540007719,8,dc1f9ad9,11,Xiaomi Note 10 Pro,,5,6,script3,dc1f9ad9,4919,3,3,120000,0.0,4919,LD
